FSC_A	FSC_H	FSC_W	SSC_A	SSC_H	SSC_W	CD34	CD43	CD38	CD90	CD49f	CD31	CD45RA	FLK1	CD73
82092.0625	59174	90918.0625	52956.0703125	43876	79098.5703125	1.67587627443784	2.12875460422111	2.6492961743603	3.45826911428836	3.1792306172223	1.1726753534688	2.24161308130478	2.77860576724123	2.64654280978335
89791.7734375	64532	91188.7734375	49224.90234375	41586	77574.265625	3.23923823751832	1.72542157626225	2.5321684618178	3.83620405178317	3.05305030451594	2.59333300475557	2.2942950474091	3.37721402671671	2.56682750494831
79663.953125	53617	97373.1640625	64578.55078125	51047	82908.296875	3.1531284520083	1.73183042274572	2.07360994128907	4.11964636539125	3.14955886456231	2.8600252873433	2.24004924229833	3.2584417825517	2.55414969440033
133889.671875	87887	99839.5	81189.8828125	60525	87911.7734375	0.755754078810138	2.08870297331767	1.46111517055175	4.70311955557406	3.73960832484603	2.28089521043153	1.75633885146822	3.0161532063161	3.16152971473444
148027.765625	93146	104149.921875	103355.703125	74341	91114.1953125	1.89839297516918	2.27831908359276	2.06610472795367	3.50268864177672	3.94425227661089	2.35656457747882	2.75014774149248	2.76929533173966	2.96200885419195
75957.2734375	59538	83609.390625	36218.33984375	31684	74914.953125	1.60536926351658	1.39269696667426	2.38796625567325	3.18936277860102	2.27589890638312	2.06828473192164	2.34131879350108	3.07187890995022	2.28219910070322
88641.5390625	71567	81171.6640625	97564.2109375	79437	80491.0546875	1.2044068729025	2.00573805049922	2.28585284730663	3.21703546329214	2.38062094514928	2.10951417842509	2.49208722229382	2.49438269365647	1.764707240228
107246.0078125	72560	96864.3125	73473.953125	56786	84795.359375	1.75022222045056	1.88558737861248	2.05932769359814	4.32217808986069	3.28909685461451	2.09934375197713	1.94373719145261	3.04609567125335	2.49311757749514
84998.3359375	58439	95320.78125	51028.47265625	41437	80705.703125	1.50201804694087	1.91576908046499	2.34417428379738	3.62088249348261	3.38519797641126	2.09424017299831	2.33369540033202	3.10997756097027	2.84784183662348
87608.609375	62559	91777.65625	43483.1796875	35792	79618.734375	3.08545009563691	1.90308998699194	1.8657259650732	4.1073384162471	3.48055966324068	1.51392352887367	1.72174139891208	3.23742340088985	2.97696256190825
99774	67126	97410.671875	62345.22265625	49700	82210.390625	1.12970189322025	1.88109923581652	2.02197835992436	3.76811899675923	3.2710180769536	1.80853357483085	2.43449092839119	3.43784084465364	2.78049461552293
166300.34375	99755	109254.265625	96793.171875	73629	86154.0703125	3.5425521283454	2.08870297331767	1.8084277779614	4.58467649950416	3.6061320531551	3.58642223293692	2.44689000647135	3.47807192273135	2.96352508567416
108197.5234375	85076	83347.0390625	54123.69140625	41574	85318.9609375	2.36060480793993	1.70560716732039	2.15214631316635	4.41413815157211	2.47951616899209	2.56406940555195	2.25405364690812	3.74113719014627	2.1336611053717
106122	74823	92950.1796875	60969.83203125	45929	86997.7265625	2.10640724114019	2.02559256760216	1.46877295630074	4.29101545527724	3.58640465689278	1.5475711716069	2.36504932412194	3.22782471809135	3.17531607337635
114996.78125	80242	93921.2578125	118030.7421875	87732	88169.234375	1.25037023533978	2.02559256760216	1.14523841400534	3.59831075794389	3.19223781037035	1.27051706492392	2.5898977713135	2.77902154136331	2.70632576542928
119654.96875	80603	97288.0390625	80880.9921875	63465	83520.3125	2.2026431686476	1.93211846583078	1.30095060906024	4.17040232371373	3.53508025865951	1.9041707881829	2.32771878300907	3.24895810063454	2.82438002581838
117726.421875	78256	98590.7578125	82754.0859375	64402	84211.234375	2.3535162015396	1.61584489250436	1.76211527457716	3.94634524858406	2.98624737141021	2.55354569564946	2.54516062215723	3.51978294980606	2.34867632871209
78599.28125	53975	95434.6015625	54968.203125	43669	82493.21875	3.98518964346558	1.99197881664587	1.75464193407116	4.62622535547396	3.64258863028095	3.39103754123763	1.74233362930408	3.41137893665972	3.08412164993093
120870.75	63653	124446.3828125	120119.5	79639	98847.953125	3.70222372515199	2.18825335452007	2.3287851721825	4.37171213070342	3.64702394158927	2.84204181658964	2.49843822986238	3.40876978027521	3.04906197271433
98674.828125	62968	102699.046875	82503.6484375	64590	83712.015625	1.62626999934857	1.67043140652985	1.97848194055822	3.38153327527677	3.25365787639955	2.05822330247678	2.40088847194995	3.43469970623144	2.45282675868968
107401.953125	75347	93417.0546875	60710.7109375	49185	80893.3125	4.03873973378474	2.00573805049922	1.34542194936138	4.69097559139238	3.91586765553614	3.31177094450224	1.56588814841565	3.33136407573364	2.96303552714213
141745.3125	93778	99057.5703125	60692.54296875	47736	83323.8359375	3.854602124318	2.24449980751642	2.06878829438457	4.49016323185014	3.65299373227483	2.90692779414615	2.11224307549853	3.29875410339341	2.88488638817338
79861.2890625	53433	97950.5	91335.8515625	65887	90849.28125	1.71734742831509	1.83346586989455	1.86517252476723	4.19649311172383	3.34377425385815	1.91732562472393	2.48636323276483	3.25608378924151	2.70985784897181
86067.1484375	58012	97229.8203125	49416.08203125	39934	81097.125	4.22650388554526	1.73183042274572	2.44112606565952	4.66364494100344	3.62556615255161	3.20542907060681	2.10476537751647	3.26513943772776	2.72259504793957
106315.203125	62729	111072.6015625	127899.421875	84079	99692.1484375	1.69667096395307	2.16307190385494	0.973321619837825	3.57874263365364	3.53850110912517	2.1276017332276	2.69683733192322	2.45950385337313	2.88498640580274
127823.1875	82100	102034.3515625	116080.234375	80694	94275.09375	1.18600454260163	2.09426146192246	1.26429987838375	3.96938593994967	3.60669030743486	1.44767344706453	2.61022041039464	3.3754961188494	2.96165563306403
76861.859375	58087	86718.5234375	77301.5	61093	82923.2734375	1.87875563014049	1.90308998699194	2.5683838749155	3.68422500466195	2.39564088285497	2.18291926365994	2.40988629822965	2.67301197188113	1.89938332862455
124073.0390625	80181	101411.1875	67852.3125	53447	83199.6015625	2.81664597086683	1.77995705124691	1.44663159951336	3.91696536815444	2.71756189357908	2.26795921825952	2.40529220504072	3.03103530170628	2.27769466114109
