FSC_A	FSC_H	FSC_W	SSC_A	SSC_H	SSC_W	CD34	CD43	CD38	CD90	CD49f	CD31	CD45RA	FLK1	CD73
115692.296875	81543	92981.75	45275.69140625	35591	83369.046875	3.05759542348963	2.76818656630564	2.12900921881841	3.83157779027254	3.24753819004415	3.66268457260232	2.59307436522832	2.41995684481782	1.96763841087426
79482.4765625	58546	88972.1484375	45413.15234375	36242	82120.09375	1.10175270120391	1.81284654818339	1.85878907533577	4.00726179464565	2.28856930499007	2.10203213906124	2.24951187536209	2.36022936154157	2.10974791594191
121754.640625	81224	98238.3515625	87144.90625	61116	93447.359375	1.26693961897962	1.87198136096227	2.13421619738113	3.27918659626048	2.72934915787028	0.214036721026971	2.7268429019619	2.07227507938129	2.21808655340754
92264.0390625	65787	91912.03125	45222.76171875	37099	79886.7578125	1.37394027236605	1.70560716732039	1.53896464010635	3.88410766710326	2.73634864252972	0.482449829857252	2.57807591913361	2.7073573322441	2.22133277264155
79652.90625	52799	98868.03125	73101.0703125	52895	90570.96875	2.83718029250846	1.85793525552829	1.84633568777761	3.32903768235639	2.81831142837186	3.11231054086454	2.82311008862704	1.95444497169094	2.03839749040363
112736.3359375	76315	96813.0625	57500.15234375	43727	86178.5625	1.16998991695288	1.99891290435879	1.98630009735351	3.86937019435243	3.37622801007745	1.79825692523101	2.66777842352592	2.20056506001855	2.06931341601946
83157.421875	63320	86067.671875	42725.5703125	33800	82842.1015625	3.2642116272031	1.72542157626225	1.54517756672389	3.49721318688509	3.19302824552228	3.49492255673213	2.46874787957144	2.88106699697373	1.8124442708673
97470.78125	65026	98235.25	71171.890625	53362	87409.0390625	2.38266574955373	1.91991449978442	2.42748593108084	4.39973803811012	3.96373439205845	1.84076464840122	2.22747163968066	3.1321255963794	2.35579472274483
99126.78125	77335	84003.0078125	52201.62109375	43383	78857.75	3.00030999614185	2.635031139373	1.65578526715745	3.58268404979696	3.65047927807647	3.42721232053337	2.56938557577673	1.83945089997095	1.52394475751562
79762.6171875	54438	96023.4140625	71619.03125	55750	84190.5859375	3.88788829704065	1.99197881664587	2.25019689592372	4.30529960088342	3.46150815163063	3.86702643552548	2.41106324742446	2.71133298484618	2.86186715899198
86432.8515625	67095	84424.5234375	41798.90234375	34343	79763.9375	3.34923359319297	2.24449980751642	1.89063939138253	3.32079665569023	3.75912459250686	3.49920830387291	2.48628980672607	2.41907107260479	1.54542830713135
116416.796875	62671	121738.7890625	104663.9453125	73455	93380.390625	3.15610310342554	2.35439660966356	2.4279309158168	4.04680283526117	3.1329287400909	3.40908896268359	2.85118106750789	3.23615101975199	2.76252770602881
90718.4375	60632	98055.8671875	74461.453125	53484	91240.484375	1.35378511370543	1.88109923581652	2.15282110762757	3.51940692995092	3.21286003376474	1.53597408501988	2.70874082447893	3.17565068648838	2.21808335476749
97808.1875	67280	95272.8515625	61420.1328125	48372	83214.046875	3.41251863258668	1.81809386108728	1.96486913385255	4.02264772725124	3.51592149663491	3.72267904577625	2.53069499275357	2.91562690584183	2.634874389105
