FSC_A	FSC_H	FSC_W	SSC_A	SSC_H	SSC_W	CD34	CD43	CD38	CD90	CD49f	CD31	CD45RA	FLK1	CD73
87638.28	52368	109675	103134.5	73296	92215.44	1.587251	1.691877	2.557928	3.726904	3.299538	1.761604	2.751745	2.407504	2.754941
113502.2	85493	87006.93	95695.07	79957	78435.56	2.13303	1.998913	2.692833	3.682318	3.405926	0.7035922	2.848777	1.91221	2.501892
84618.15	61432	90271.11	57895.94	47740	79477.77	2.301831	3.416439	2.174598	3.103666	4.164479	3.83173	2.56702	2.124184	0.942687
95001.96	72706	85633.23	56496.85	48262	76718.29	3.425576	2.36784	1.864405	2.373218	3.090117	2.798686	3.426505	1.410768	2.062186
71871.09	58460	80570.37	41740.44	29256	93502.24	2.010257	3.086911	3.265802	3.455131	3.989999	2.754365	3.359299	2.782002	3.418667
102238.7	70981	94395.89	84356.2	66161	83559.32	1.499644	1.581267	2.540769	3.03433	3.18385	1.729831	3.039456	2.254778	2.742075
94142.21875	68595	89943.9453125	43911.359375	39696	72495.34375	3.17639341367627	2.84322654105756	2.40816488301513	2.90168918498293	3.88426850184713	3.80794888263666	2.41750922698133	2.25019438191321	2.28440703324474
97462.5	74537	85693.04	38303.94	34441	72886.59	1.304778	3.084093	2.24804	1.943625	3.439609	3.673455	2.66137	2.389863	2.109841
72375.4765625	55796	85009.671875	47347.859375	41200	75315.28125	2.74051468636416	2.39215154927689	1.94144628753612	2.36134081849819	3.02370959621899	2.30830988879539	2.8731052463221	0.707046577995075	2.19222605697847
100628.90625	62229	105976.5625	119135.953125	82929	94149.1328125	1.60702033578552	1.50256368785658	2.6732252699776	4.00068030727282	3.38910136440077	2.61922417292809	2.8264050716986	2.43370533659754	3.08433521300044
116305.7109375	77120	98835.71875	82539.9921875	65556	82514.8125	3.04043784173282	3.40820774126302	1.96811176443676	1.99060202660263	3.89959162131295	3.95637176921098	2.82827433990754	1.48222849948534	2.53091290813728
88591.859375	67005	86649.59375	43876.6015625	39469	72854.578125	2.51602921549501	2.85103197023903	1.83860906464438	2.33854561597261	3.81244292566974	3.49702843534416	2.72880442506615	0.355502806908618	2.64965441037823
71561.96875	56407	83143.671875	45684.12109375	40371	74161.0234375	1.60162324598	2.72452161712149	2.06392552779475	2.00074362214074	3.33820144639018	3.71005711214528	2.64312489627338	2.30467407939209	2.21576323729527
90728.1	67361	88270.02	57335.04	48501	77472.82	2.295238	2.762296	2.282689	1.205195	3.569765	3.734393	2.671488	2.273779	2.593784
108961.4	74135	96322.8	71914.49	60071	78456.96	2.065939	3.132465	2.564603	2.419128	3.794304	4.002602	2.910767	1.424178	1.412315
64851.71875	51916	81865.359375	99022.5546875	85496	75904.6328125	0.498134258547243	2.056790552926	2.25048328648883	3.50578328281892	2.742994164759	1.04447429383593	2.66884265251081	2.13019050868779	1.11346857653631
143617.3	89868	104732.5	90985.09	68236	87384.95	1.619518	1.932118	2.686798	2.187146	3.888762	2.535435	2.844923	2.402967	4.008184
107328.8	72692	96763.08	74267.9	59088	82372.41	2.449396	3.067967	2.737269	3.137401	4.036124	3.76019	2.797752	1.866782	2.798207
88698.8125	66752	87083.015625	39212.44140625	34480	74530.9375	2.53624579858719	3.01399099429782	1.58764859243695	2.32824464523469	3.67437485732098	2.95964115399251	2.49413377480255	1.72509891197851	2.14101696023535
111109.3	81148	89733.09	57984.42	49944	76086.56	0.1487516	2.478855	2.358863	2.430747	3.157392	3.517038	2.623624	2.001025	0.7724185
146996.21875	93383	103161.6484375	110197.890625	87351	82677.1171875	3.05163947057097	3.00830628386395	2.64948680518419	3.05147695526512	3.56600238393227	3.50048204188529	3.04135689942155	1.57957192948538	2.65055193486545
86181	66724	84646.578125	94316.5234375	81396	75938.9609375	2.5180944630181	2.80410535027177	1.50415903279069	2.7512675351396	2.90795805880714	3.6220701700072	2.64894093509051	2.24868315708635	2.57058948991226
98452.6484375	67214	95994.7734375	60654.62109375	48750	81539.71875	2.34287402147905	2.75572243559941	2.0558147072314	2.43596707360099	3.28253343348447	1.80067827674756	3.47896812777084	1.75237570910509	2.75583295559006
82673.73	63088	85881.72	48908.9	42468	75475.51	2.900937	2.558745	2.23828	3.018053	3.663426	3.710337	2.593082	1.758385	0.910447
