FSC_A	FSC_H	FSC_W	SSC_A	SSC_H	SSC_W	CD34	CD43	CD38	CD90	CD49f	CD31	CD45RA	FLK1	CD73
90516.96	68667	86389.67	49737.61	41247	79026.45	1.887028	3.107749	2.09457	2.711234	2.995726	3.279238	2.670544	1.555068	0.4322492
88475.25	71920	80621.72	35098.91	30352	75785.53	2.248267	2.907191	2.019803	2.865972	2.760394	3.564652	2.578658	1.525261	1.681228
75346.62	54575	90479.45	80281.38	64607	81435.77	1.435016	1.491642	2.340097	4.01005	3.213698	1.661147	2.584932	2.119922	2.005245
129837.296875	92835	91657.4140625	96688.1015625	75939	83442.640625	1.91163694869115	1.69879624781276	1.7659929879771	3.99415573096445	3.07514881039293	2.5533115968177	2.77521788919546	2.1535878565704	2.48178089634484
118889.7578125	89163	87385.5703125	114775.15625	76511	98311.421875	1.15956501697903	1.99197881664587	2.23333724273254	1.54396218587074	3.7878866409889	2.49919806786783	2.77456558715813	2.52232220729477	2.62930553405419
110417.2	80795	89563.77	63187.36	51583	80279.3	3.126621	2.342087	2.318465	1.979134	3.416583	3.184872	2.879068	2.014412	1.966856
86420.43	61666	91843.95	58402.33	49442	77413.03	2.540663	2.965169	2.422905	2.375333	3.107762	3.677981	2.672829	1.572234	2.422908
133436.3	89129	98114.91	110515.5	86217	84005.96	3.228742	3.229108	2.428011	3.085288	4.369157	3.264302	2.958937	2.381306	2.081586
152274.7	98154	101671.6	106997.6	79018	88741.74	0.9289481	2.022346	1.237313	2.533944	2.809296	1.653755	3.287542	2.08593	1.76045
107568.2	66706	105681.5	65621.35	49606	86694.37	3.219862	3.004927	2.295936	2.904494	3.335279	3.685754	2.760136	2.97061	1.066137
142304.9	94003	99210.61	82629.27	63235	85635.98	3.066359	3.184592	2.692822	2.877547	3.812258	3.943798	2.909837	2.313286	2.031281
183791.8	103528	116345.2	107391.8	75692	92982.48	3.129941	3.101004	2.548529	2.981535	3.641352	3.951885	3.203908	2.549314	1.673201
113710.6	76609	97274.98	108621.8	79121	89971.58	1.042549	1.89003	2.355715	3.925858	3.25658	1.952921	2.732443	1.826513	2.488088
106523.578125	80578	86638.15625	42023.26171875	36114	76259.53125	1.39694812771521	3.06913880396078	1.81068481394148	2.41954519090643	3.08769234770502	3.66179232277006	2.67798820903687	2.21638019912696	1.85664780514107
119267.8828125	75056	104140.109375	66609.640625	49744	87755.8984375	3.2127417976029	3.33494405441289	2.38125628016656	2.96560401504843	4.11970878133331	3.8310093929099	3.73680203417296	1.71090425264748	2.18978210033422
105616.9	80261	86240.03	65832.28	52709	81852.91	1.02702	1.970486	2.012623	2.432553	3.695676	2.347224	2.954232	2.352646	1.630205
107467.5	76030	92634.36	75843.16	58686	84695.8	3.054707	3.160616	2.19492	2.604248	3.498994	3.78988	2.702771	1.308832	2.133621
132467.6	88855	97702.94	77851.34	57859	88181.02	1.44359	1.838471	2.13643	2.985829	3.274539	0.9829316	2.619912	2.058158	3.27203
116046.9609375	82591	92083.3359375	80045.9609375	66571	78801.4609375	1.54946153702207	1.99891290435879	2.40361310084848	2.27957149333691	3.82912294047137	2.59820677158025	2.71277419972192	2.31797790658088	2.0416749386005
120069.65625	83667	94050.0390625	65148.93359375	53431	79908.6796875	2.36209269598377	2.83777780036266	1.99973414025443	2.40112742327974	3.86007611139565	3.36763052673992	2.71544165160392	1.25410863768118	1.94263856376725
100575.8	66254	99485.83	82652.96	63294	85580.7	2.953458	2.968502	2.561692	3.055449	3.057254	3.687791	3.282387	3.129903	2.287351
121429.6	80807	98481.73	65186.85	50775	84137.59	2.002427	2.969607	1.185815	2.63752	2.929132	3.599358	2.6249	1.309024	1.289976
80269.7734375	64631	81393.765625	48880.4609375	39607	80880.40625	1.24685008518998	1.60745502321467	1.92236972287175	2.59864122811761	3.78735323513746	2.48389838621267	2.47281168611609	1.82798820293066	2.61293777323028
153493.3	82894	121351.8	125452.8	89390	91975.34	2.283961	3.546501	2.618769	3.520453	3.589396	4.174383	3.259363	2.897003	2.45352
73683.72	51891	93059.23	83318.93	66455	82166.72	2.051163	3.186829	2.349332	2.448366	2.94436	3.186852	2.686578	1.270141	1.707038
106900.3	75982	92203.66	76042.24	58746	84831.39	1.310754	1.936111	2.764441	3.010341	2.984664	0.6257779	2.755779	2.244322	2.669938
129064.5	92541	91401.34	90081.34	71801	82221.29	2.650423	3.2285	2.313405	1.84715	3.607375	3.720282	3.367681	2.273568	1.437024
70688.43	53212	87060.01	69448.9	56748	80203.77	3.75392	2.038342	2.4723	3.651891	3.19376	3.763661	2.750251	3.378132	3.718275
110132.3	80274	89912.42	90075.02	72274	81677.46	1.645816	2.363405	2.122767	2.480202	3.512581	2.287416	2.953586	2.155804	2.156668
127180.1	85158	97875.43	109144	82866	86318.43	3.280538	3.227079	2.465804	2.736741	3.298685	3.72627	3.02211	2.28028	1.8016
78951.18	61837	83673.92	42733.47	37817	74056.14	2.553895	2.706018	0.3551036	1.865625	3.437755	3.557942	2.472827	0.4834626	2.116006
73366.32	53298	90212.3	41019.96	32722	82155.26	1.214585	2.514906	1.464864	2.253913	2.26736	2.655131	2.397247	1.911042	2.135687
115285.9	79196	95400.98	86619.55	65228	87028.57	1.278775	1.513218	2.370651	2.811489	3.534104	2.377793	2.695563	2.135128	2.150836
143631.8	95439	98628.99	109406.3	84363	84990.49	1.650462	1.984932	1.881	2.843193	3.173364	1.325614	2.834302	2.125903	3.354642
106541.5234375	73247	95325.46875	119647.875	86619	90525.671875	1.73834187102618	0.94939001129857	2.56425133208796	2.58012676601049	3.90532542892066	2.5225052759488	2.9477502366272	2.34585174428047	3.48933739325133
125897.4	91159	90510.12	85681.03	65895	85214.24	1.928245	1.823279	2.344622	2.560115	3.866159	2.642434	2.884986	2.284435	2.309759
101584.6	76917	86553.63	52529.47	42897	80252.04	1.986207	1.779957	2.183211	2.222811	3.213492	2.010944	2.388771	1.859812	2.73643
126021.6015625	87062	94862.875	107893.4609375	86642	81610.6015625	0.596349688059228	2.05072766885655	1.36604801935908	4.2366709363626	3.58300387130075	2.04291381021648	2.77600377456973	2.54487046560731	2.84428737584866
92964.39	71809	84843.34	40184.93	35617	73941.09	2.214061	2.788197	1.607508	2.009719	3.268957	3.537895	2.813487	1.947064	1.613056
151177.6	87999	112587.4	126095.1	89407	92428.62	0.8491839	2.257966	2.546464	3.328581	3.410769	2.583828	2.963743	2.112328	3.712488
123714.9	81302	99724.27	84616.11	66566	83306.81	3.062937	2.910576	2.317355	3.303324	3.173524	3.789653	2.859153	2.295798	1.689289
119754.3	83654	93817.63	85139.09	69110	80736.16	3.091679	3.065613	1.99195	2.770835	3.28054	3.864355	3.227921	2.429987	1.021767
113173.796875	80690	91919.1640625	67675.3515625	55702	79623.2109375	3.08147111586735	2.95539428100199	2.51101433366438	2.45809706317499	3.65278264712843	3.76059683814418	2.58689762017031	1.96974732205812	1.68012548470511
130317.5	88022	97026.77	100561.5	80150	82225.79	3.193554	2.830236	1.25434	3.040926	3.189635	3.859999	2.683206	1.980361	1.933715
85600.02	60921	92084.55	49410.55	40333	80285.87	2.637948	3.152722	2.055725	2.738878	3.917553	3.53227	2.383236	1.492811	1.931854
130915.078125	84430	101618.5078125	54322.76953125	43150	82505.1484375	2.63211587862169	3.16321507792928	2.02242729956731	2.98808069441533	3.39715340452003	3.80178234075109	2.8540230797953	1.58634339204056	1.97835916279898
75428.04	57024	86687.22	94977.75	75552	82386.46	0.9202446	1.84342	1.451437	2.357451	3.311074	1.668819	2.501773	1.827099	3.148675
171059.28125	107068	104704.8671875	94108.75	69660	88537.3359375	3.60207821971725	3.39056423546187	1.81331157624988	2.23014768117649	4.52523257202158	4.1019438609012	3.27501906667061	1.98712587069556	1.60265104723749
66111.66	52323	82806.67	50706.94	43127	77054.52	1.991667	1.615845	0.8880628	3.920078	2.542172	1.894117	1.925682	1.270558	2.448784
92470.35	74996	80806.13	43071.59	37008	76273.77	1.718994	2.786517	1.659482	2.092127	2.827745	3.564026	2.472081	2.219786	1.497464
90097.44	68052	86766.38	52887.34	43956	78852.14	2.923	3.188388	1.864053	1.423209	3.471066	3.540512	3.165065	1.67671	2.026182
73281.45	54906	87469.01	53742.12	43578	80821.6	3.618788	1.572174	1.815578	3.644899	3.122506	3.600294	2.522988	1.815558	2.627073
116496.8	73546	103809	98385.81	66362	97161.22	1.606621	1.970486	1.538384	2.956824	3.353621	1.887562	3.010971	2.377206	1.888694
160026.9	102258	102559.4	119815.4	80866	97101.61	1.658484	1.828402	2.471819	3.280127	3.451896	1.838898	2.905337	2.31551	2.672061
102578.15625	73511	91449.734375	53705.78125	45991	76529.3671875	2.41607240897464	2.92263205508753	2.09381814652823	2.22594521235611	3.25814678118332	3.76082060285171	2.7434187424736	2.61474518202035	1.89313943380244
128262	82328	102101.1	89804.04	68792	85553.52	2.26396	3.052132	2.060283	2.43221	3.558826	3.745949	2.95955	1.871749	1.783241
78735.9	58038	88907.88	103632.2	80182	84702.8	3.746909	2.123623	2.977423	3.816073	3.415758	3.745327	2.771885	2.92805	3.498088
95304.1796875	68003	91846.7578125	65541.5625	54867	78286.2578125	3.06310063759659	2.40313770338918	2.05743947879495	2.94400752164445	3.39530269672765	3.6091250010358	2.80830682755975	1.71919434656047	0.952620433436939
124279.3515625	81868	99486.6328125	112717.9921875	79804	92565.3671875	1.39580886751757	1.20439133812805	2.11092531939684	3.83163565114673	3.10991049238582	1.04179321249793	2.64403880897037	2.20050593457539	2.74749226605529
110954.1	79602	91348.03	56244.84	45842	80407.96	1.589995	3.193472	1.840479	2.389521	3.014534	3.8341	2.622115	1.849909	2.339669
122820.7	82409	97673.52	90185.61	68809	85895.8	2.081735	2.176988	2.038108	3.438307	3.486489	2.212031	2.752061	2.239329	2.056434
102991.46875	73884	91354.6796875	92987.7421875	76732	79419.8671875	1.75609206198478	3.08803329339316	2.20901125172454	2.73539595402007	2.95774276322396	3.5666668638079	3.12683843588778	2.88243877089025	1.62110412745297
96228.09	65175	96761.09	50085.21	41495	79103.13	1.76877	2.917269	1.755876	2.864672	4.020104	3.812337	3.222649	2.295838	2.079456
188741.9	112499	109951.1	119052.2	80775	96591.84	1.571153	1.881099	2.626551	2.297616	3.820266	2.432758	2.966074	2.323999	3.792755
81972.69	51210	104904.6	92369.17	65722	92107.75	2.684246	2.105169	2.364774	2.909534	4.378643	2.886608	2.967811	2.682592	3.11346
120387.8	81914	96317.26	72884.61	51994	91867.63	0.7455498	1.907358	1.90502	3.349723	3.195346	1.890157	2.726682	2.631946	2.659193
77556.69	61383	82803.95	39044.96	32739	78159.09	3.117221	2.755722	1.966433	2.911464	2.918507	3.475286	2.340616	2.043919	2.103852
78431.61	61735	83260.61	44567.06	37063	78804.93	3.038075	2.085897	1.781678	2.027758	2.889217	3.278589	2.992678	1.54995	1.584505
159808.8	100570	104138.7	119883.3	87854	89428.73	3.466463	2.705342	2.746162	2.8078	4.183032	3.883562	3.110631	2.101405	1.941018
101332.7	71951	92298.1	61683.2	49119	82299.53	1.668635	1.955543	1.486734	4.272576	3.040393	2.223195	2.72052	2.50667	2.476242
124226.21875	82997	98091.3671875	95366.4296875	73697	84805.8203125	2.0711239858863	3.16626728157875	2.68619475212816	2.92423612533388	3.8420645975578	3.59937193765049	3.09995198779191	1.8586041076464	2.02645144453613
120881.1	78980	100304.7	85516.71	67376	83181.3	1.751548	1.802158	2.099966	3.412488	3.688457	2.576372	2.720998	2.322887	3.037796
86185.83	68927	81945.75	35043.61	30587	75084.77	1.769875	3.075529	1.986621	2.343108	1.860535	3.217336	2.471446	0.7763934	1.809648
184348	117367	102937.2	111571.7	86323	84704.7	3.306058	3.358865	2.236312	3.305107	3.588471	4.173094	2.989541	2.802695	2.376787
110208.2	81854	88237.64	57638.4	49134	76879.36	1.062389	2.88764	1.352833	2.566903	2.944025	3.40267	2.576416	2.025505	1.32696
107453	80920	87024.72	108471	74060	95986.41	1.958407	1.871981	2.553275	2.816058	3.280386	1.270064	2.814237	2.30024	2.287355
103528.3	73705	92053.88	47684.4	40557	77053.16	2.574684	2.79595	2.159428	2.788438	3.880405	3.649936	2.894391	2.092833	1.242659
107293.6	81861	85896.77	85393.47	70133	79796.19	1.45639	1.738146	1.565832	2.400681	3.972036	2.699975	2.647876	2.253178	2.152682
72047.04	52399	90110.02	56167.42	46811	78635.11	1.450274	1.624076	1.929839	4.137865	2.75186	1.557164	2.258321	1.926305	2.498214
141382.4	82603	112170.7	115801.4	78559	96604.57	1.910203	1.698796	2.835228	2.975022	3.097017	0.9719549	2.738286	2.303112	2.499875
90523.17	63278	93753.38	54914.48	43258	83195.6	1.993286	3.059075	2.091361	2.261126	2.637534	3.584794	2.654231	1.778075	1.728181
75083.04	59822	82254.73	52396.75	44430	77287.27	3.153753	3.050608	2.662839	3.013133	3.030583	3.715472	2.98564	2.029186	0.5845365
106992.1	71181	98507.09	81305.22	61145	87143.98	1.761872	1.75656	2.517808	2.176859	3.739784	0.9337551	2.638655	2.046291	3.053975
